cnit           ; lib_mrq_doss             ; lib_mod_doss             ; energ; hybride; typ_boite_nb_rapp; puiss_admin; puiss_max; masse_ordma_min; masse_ordma_max; conso_mixte; co2_mixte
M10MCDVPKP4C883; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.6;     130.0
M10MCDVPKP4D859; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     126.0
M10MCDVPKP4D884; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.7;     132.0
M10MCDVPKP4E860; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.5;     128.0
M10MCDVPKP4E885; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.6;     129.0
M10MCDVPKP4F825; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     125.0
M10MCDVPKP4F861; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     126.0
M10MCDVPKP4F886; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.6;     130.0
M10MCDVPKP4G826; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     126.0
M10MCDVPKP4G862; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.5;     128.0
M10MCDVPKP4G887; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.7;     132.0
M10MCDVPKP4H827; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.5;     128.0
M10MCDVPKP4H863; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     125.0
M10MCDVPKP4H888; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.6;     130.0
M10MCDVPKP4J828; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     125.0
M10MCDVPKP4J829; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     126.0
M10MCDVPKP4J864; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     126.0
M10MCDVPKP4J865; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.5;     128.0
M10MCDVPKP4J889; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.7;     132.0
M10MCDVPKP4J890; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.8;     135.0
M10MCDVPKP4K830; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.5;     128.0
M10MCDVPKP4K866; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     126.0
M10MCDVPKP4K891; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.6;     129.0
M10MCDVPKP4L831; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.6;     130.0
M10MCDVPKP4L867; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.5;     128.0
M10MCDVPKP4L892; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1495;            1495;         5.6;     130.0
M10MCDVPKP4M832; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.4;     125.0
M10MCDVPKP4M868; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1470;            1470;         5.6;     130.0
